OBJECTID,VAPID,LandmkName,Address,City,State,Zip,Phone,URL,X,Y,LOC,LastCheck,PlaceType,SrcTyp,Src,FIPScode,FIPSname
48,51059000170730,John Marshall Library,6209 Rose Hill Drive,Alexandria,VA,22310,703-971-0010,https://www.fairfaxcounty.gov/library/branches/john-marshall-location,-77.11878639,38.78277096,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
49,51153000085242,Chinn Park Library,13065 Chinn Park Drive,Prince William,VA,22192,703-792-4800,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33312893,38.67034818,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
50,51179000005279,William J. Howell Branch Library,806 Lyons Boulevard,Fredericksburg,VA,22406,(540) 372-1144,https://www.librarypoint.org/locations/ENG/,-77.49771194,38.36280092,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51179,Stafford County
51,51510000028462,Kate Waller Barrett Branch Library,717 Queen Street,Alexandria,VA,22314,703-746-1703,https://alexlibraryva.org/barrett,-77.04718685,38.80760849,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51510,Alexandria City
52,51177000020761,Salem Church Branch Library,2607 Salem Church Road,Fredericksburg,VA,22407,(540) 372-1144,https://www.librarypoint.org/locations/SALEM/,-77.53334132,38.27667195,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51177,Spotsylvania County
53,51153000091978,Dale City Library,4249 Dale Boulevard,Dale City,VA,22193,703-792-5670,https://www.pwcva.gov/department/library/branch-locations-hours,-77.33782714,38.6459973,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51153,Prince William County
54,51059000291389,Kingstowne Library,6500 Landsdowne Centre,Alexandria,VA,22315,703-339-4610,https://www.fairfaxcounty.gov/library/branches/kingstowne-location,-77.16497282,38.73985184,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
55,51193000009503,Abraham and William Cooper Memorial Branch Library,20 Washington Avenue,Colonial Beach,VA,22443,(804) 472-3820,https://www.librarypoint.org/locations/COOPER/,-76.96350752,38.25047591,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
56,51133000007340,Northumberland Public Library,7204 Northumberland Highway,Heathsville,VA,22473,804-580-5051,https://nplibraryva.org/,-76.46933802,37.91552153,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51133,Northumberland County
57,51137000000553,Wilderness Branch Library,6421 Flat Run Road,Locust Grove,VA,22508,(540) 661-5434,https://ocplva.org/branches/,-77.77907133,38.313423,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51137,Orange County
58,51059000181677,Martha Washington Library,6614 Fort Hunt Road,Alexandria,VA,22307,703-768-6700,https://www.fairfaxcounty.gov/library/branches/martha-washington-location,-77.06306163,38.77305405,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51059,Fairfax County
59,51033000000010,Bowling Green Branch Library,17202 Richmond Turnpike,Milford,VA,22514,804-633-5455,https://carolinelibrary.org/about-us/directory/bowling-green-branch/,-77.34083173,38.02432199,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
60,51099000004377,L. E. Smoot Memorial Library,9533 Kings Highway,King George,VA,22485,540-775-2147,https://www.kinggeorgecountyva.gov/309/L-E-Smoot-Memorial-Library,-77.17785719,38.26644318,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51099,King George County
61,51103000001259,Lancaster Community Library,16 Town Centre Drive,Kilmarnock,VA,22482,804-435-1729,https://www.kilmarnockva.com/government/community-services/lancaster-community-library/,-76.37966222,37.71374675,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51103,Lancaster County
62,51033000009511,Port Royal Branch Library,419 King Street,Port Royal,VA,22535,804-742-5254,https://carolinelibrary.org/about-us/directory/port-royal-branch/,-77.191947,38.16904287,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
63,51193000003783,Montross Branch Library,56 Polk Street,Montross,VA,22520,(804) 472-3820,https://www.librarypoint.org/locations/MONTROS/,-76.82925155,38.09646489,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
64,51179000028796,John Musante Porter Branch Library,2001 Parkway Boulevard,Stafford,VA,22554,(540) 372-1144,https://www.librarypoint.org/locations/PORTER/,-77.44694662,38.46437797,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51179,Stafford County
65,51193000002218,Blake T. Newton Memorial Branch Library,22 Coles Point Road,Hague,VA,22469, (804) 472-3820,https://www.librarypoint.org/locations/NEWTON/,-76.64490187,38.07000202,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51193,Westmoreland County
66,51177000051481,C. Melvin Snow Memorial Library,8740 Courthouse Road,Spotsylvania,VA,22553,(540) 372-1144,https://www.librarypoint.org/locations/SNOW/,-77.58732853,38.19590131,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51177,Spotsylvania County
67,51171000003770,Fort Valley Community Library,6190 Woodstock Tower Road,Fort Valley,VA,22652,(540) 933-6714,https://countylib.org/fort-valley.html,-78.41856258,38.8476282,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
68,51069000018285,Bowman Library,871 Tasker Road,Stephens City,VA,22655,(540) 869-9000,https://www.handleyregional.org/locations/bowman,-78.19240066,39.10143685,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51069,Frederick County
69,51187000015609,Samuels Public Library,330 East Criser Road,Front Royal,VA,22630,540-635-3153,https://samuelslibrary.net/index.php/about/hours-location,-78.18828446,38.90651418,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51187,Warren County
70,51159000002755,Richmond County Public Library,52 Campus Drive,Warsaw,VA,22572,(804) 333-6710,https://rcplva.org/,-76.76232955,37.95706811,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51159,Richmond County
71,51171000014264,Strasburg Community Library,195 West King Street,Strasburg,VA,22657,(540) 465-8464,https://countylib.org/strasburg.html,-78.3635278,38.98958708,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
72,51113000004047,"Madison County Library, Inc.",402 North Main Street,Madison,VA,22727,540-948-4720,https://madisoncountyvalibrary.org/,-78.25333422,38.38242436,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51113,Madison County
73,51157000007687,Rappahannock County Library,4 Library Road,Washington,VA,22747,(540) 675-3780,https://rappahannocklibrary.org/,-78.14585419,38.71495085,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51157,Rappahannock County
74,51207520001322,Culpeper County Library,271 Southgate Shopping Center,Culpeper,VA,22701,540-825-8691,https://youseemore.com/culpeper/,-78.00142076,38.46240943,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,5120752,Culpeper Town
75,51171000003018,Basye-Orkney Springs Community Library,1382 Resort Drive,Basye,VA,22810,(540) 856-8084,https://countylib.org/basye-orkney-springs.html,-78.76865432,38.81787955,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
76,51171000009812,Shenandoah County Library,514 Stoney Creek Boulevard,Edinburg,VA,22824,(540) 984-8200,https://countylib.org/county-library.html,-78.57002359,38.8274716,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
77,51165000022630,Village Library,175 North Main Street,Broadway,VA,22815,540-434-4475 option 700,https://mrlib.org/about-us/locations-hours.html,-78.79782251,38.61508862,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
78,51165000023820,North River Library,118 Mt. Crawford Avenue,Bridgewater,VA,22812,540-434-4475 option 400,https://mrlib.org/about-us/locations-hours.html,-78.96817259,38.38623434,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
79,51165000021994,Elkton Community Library,106 North Terrace Avenue,Elkton,VA,22827,540-434-4475 option 200,https://mrlib.org/about-us/locations-hours.html,-78.62389991,38.40834845,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51165,Rockingham County
80,51139000009996,Page Public Library,100 Zerkel Street,Luray,VA,22835,540-434-4475 option 500,https://mrlib.org/about-us/locations-hours.html,-78.45948131,38.66388381,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51139,Page County
81,51660000020151,Massanutten Regional Library,174 South Main Street,Harrisonburg,VA,22801,540-434-4475 option 100,https://mrlib.org/about-us/locations-hours.html,-78.8688331,38.44749249,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51660,Harrisonburg City
82,51171000021929,New Market Community Library,160 East Lee Street,New Market,VA,22844,(540) 740-8650,https://countylib.org/new-market.html,-78.67052567,38.64607434,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51171,Shenandoah County
83,51540000016920,Gordon Avenue Library,1500 Gordon Avenue,Charlottesville,VA,22903,434-296-5544,https://jmrl.org/gordon,-78.49834803,38.03955862,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51540,Charlottesville City
84,51003000036124,Crozet Library,2020 Library Avenue,Crozet,VA,22932,434-823-4050,https://jmrl.org/crozet,-78.70136951,38.06810771,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51003,Albemarle County
85,51540000021287,Charlottesville Central Library,201 East Market Street,Charlottesville,VA,22902,434-979-7151,https://jmrl.org/central,-78.48005153,38.0314086,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51540,Charlottesville City
86,51015000018925,Fishersville Main Library,1759 Jefferson Highway,Fishersville,VA,22939,540-949-6354,https://www.augustacountylibrary.org/fishersville-library/,-78.97027437,38.09894565,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51015,Augusta County
87,51125000002843,Nelson Memorial Library,8521 Thomas Nelson Highway,Lovingston,VA,22949,434-263-5904,https://jmrl.org/nelson,-78.87894632,37.75123029,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51125,Nelson County
88,51137000004446,Gordonsville Branch Library,319 North Main Street,Gordonsville,VA,22942,(540) 832-0712,https://ocplva.org/branches/,-78.18846532,38.13880037,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51137,Orange County
89,51065000008353,Fluvanna County Public Library,214 Commons Boulevard,Palmyra,VA,22963,(434) 589-1400,http://www2.youseemore.com/fluvanna/default.asp,-78.27699629,37.86609927,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51065,Fluvanna County
90,51043000003021,Clarke County Library,"101 Chalmers Court, Suite C",Berryville,VA,22611,(540) 955-5144,https://www.handleyregional.org/locations/clarke,-77.98133047,39.14866779,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51043,Clarke County
91,51007000004009,James L. Hamner Public Library,16351 Dunn Street,Amelia Court House,VA,23002,804-561-4559,http://www.hamnerlibrary.org,-77.97995447,37.33884997,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51007,Amelia County
92,51119000001773,Deltaville Branch Library,35 Lovers Lane,Deltaville,VA,23043,804-776-7362,https://www.yourmiddlesexlibrary.org/,-76.33684105,37.55438908,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51119,Middlesex County
93,51820000005501,Waynesboro Public Library,600 South Wayne Avenue,Waynesboro,VA,22980, 540-942-6746,https://www.waynesboro.va.us/1199/Library,-78.89352393,38.06182099,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51820,Waynesboro City
94,51079000008688,Greene County Library,"222 Main Street, Suite 101",Stanardsville,VA,22973,434-985-5227,https://jmrl.org/greene,-78.43810362,38.29707177,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51079,Greene County
95,51087000001099,Glen Allen Branch Library,10501 Staples Mill Road,Glen Allen,VA,23060,(804) 501-1950,https://henricolibrary.org/glen-allen,-77.52758962,37.66366597,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51087,Henrico County
96,51073000015581,Gloucester Main Library,6920 Main Street,Gloucester,VA,23061,804-693-2998 ,https://gloucesterva.gov/library,-76.51972036,37.40913292,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51073,Gloucester County
97,51085000042623,"Richard R. Gillis, Jr./Ashland Branch Library",201 South Railroad Avenue,Ashland,VA,23005,804-798-4072,https://www.pamunkeylibrary.org/client/en_US/default/?rm=ASHLAND0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.48121535,37.75802859,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
98,51085000003996,Pamunkey Regional Library,7527 Library Drive,Hanover,VA,23069,804-365-6210,https://www.pamunkeylibrary.org/client/en_US/default/?rm=HANOVER0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.36646268,37.76253265,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
99,51049000001408,Cumberland County Public Library,1539 Anderson Highway,Cumberland,VA,23040,804-492-5807,https://www.cumberlandcountypubliclibrary.org/,-78.24771972,37.49322669,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51049,Cumberland County
100,51073000017350,Point Branch Library,2354 York Crossing Drive,Hayes,VA,23072,804-642-9790 ,https://gloucesterva.gov/library,-76.49660414,37.27656839,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51073,Gloucester County
101,51033000011842,Dawn Branch Library,31046 Richmond Turnpike,Hanover,VA,23069,804-632-8341,https://carolinelibrary.org/about-us/directory/dawn-branch/,-77.36974072,37.83874358,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51033,Caroline County
102,51087000034879,Twin Hickory Branch Library,5001 Twin Hickory Road,Glen Allen,VA,23059,(804) 501-1920,https://henricolibrary.org/twin-hickory,-77.59514024,37.67611075,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51087,Henrico County
103,51115000001758,Mathews Memorial Library,251 Main Street,Mathews,VA,23109,804-725-5747,https://www.mathewslibrary.org/,-76.32070932,37.43339838,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51115,Mathews County
104,51085000038631,Mechanicsville Branch Library,7461 Sherwood Crossing Place,Mechanicsville,VA,23111,804-746-9615,https://www.pamunkeylibrary.org/client/en_US/default/?rm=MECHANICSVILLE0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue&dt=list,-77.34421752,37.61367114,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51085,Hanover County
105,51041000149002,Clover Hill Library,6701 Deer Run Drive,Midlothian,VA,23112,804-751-2275,https://library.chesterfield.gov/154/Clover-Hill-Library,-77.65477043,37.40775,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51041,Chesterfield County
106,51145000004579,Powhatan County Public Library,2270 Mann Road,Powhatan,VA,23139,804-598-5670,https://powhatanlibrary.net/,-77.92895257,37.54668438,AP,2023/10/23 00:00:00+00,Public Library Points,Public Library,LVA,51145,Powhatan County
